aX,aY,aZ,gX,gY,gZ
-0.171,1.024,1.371,193.481,-7.812,-3.601
-0.098,1.026,1.322,202.820,6.287,-6.287
-0.095,1.066,1.316,218.933,50.354,-32.471
-0.086,1.150,1.339,226.990,65.918,-38.208
-0.050,1.243,1.391,241.089,58.044,-20.020
0.112,1.532,1.625,247.986,39.795,-3.967
0.269,1.488,1.768,311.401,0.916,-8.118
0.428,1.086,1.461,367.859,-14.587,-40.405
0.412,0.885,1.065,440.674,-52.979,-94.666
0.317,0.479,0.369,441.467,-73.120,-105.103
0.191,0.301,0.095,397.217,-93.689,-104.553
-0.058,-0.107,-0.281,366.760,-97.900,-88.684
-0.159,-0.281,-0.326,317.017,-109.375,-40.588
-0.267,-0.194,-0.181,297.119,-101.196,-21.423
-0.322,-0.090,0.065,265.625,-92.712,12.512
-0.423,-0.100,0.740,268.250,-114.685,42.358
-0.371,-0.182,0.572,400.757,-165.833,130.005
0.442,-0.754,-1.756,500.977,-177.856,155.640
1.028,-1.617,-3.306,414.551,-224.854,96.436
1.021,-3.086,-4.000,178.101,-196.838,6.226
0.537,-2.810,-3.631,-234.192,75.378,-169.312
-0.337,-1.609,-1.798,-295.654,201.050,-195.312
-0.452,-1.215,-1.043,-266.296,232.849,-122.620
-0.363,-0.568,-0.004,-251.648,177.673,-64.758
-0.290,-0.418,0.359,-247.559,79.529,4.761
-0.121,-0.513,0.624,-243.713,62.805,17.151
-0.039,-0.611,0.587,-217.957,56.274,13.367
-0.024,-0.719,0.511,-202.820,57.373,-4.333
-0.084,-0.738,0.495,-185.913,77.881,-49.072
-0.249,-0.765,0.470,-177.673,82.764,-57.312
-0.326,-0.764,0.486,-165.955,59.204,-23.987
-0.429,-0.660,0.488,-165.588,47.058,2.197
-0.419,-0.589,0.465,-165.466,32.959,23.193
-0.307,-0.498,0.469,-165.161,40.588,14.709
-0.235,-0.484,0.457,-165.100,86.243,-19.348
-0.143,-0.467,0.381,-168.579,99.487,-28.625
-0.147,-0.441,0.337,-176.208,93.567,-24.109
-0.209,-0.304,0.287,-197.205,34.546,23.071
-0.245,-0.204,0.262,-206.848,2.808,49.805
-0.179,-0.050,0.250,-220.947,-12.146,76.355
-0.092,-0.000,0.261,-228.149,1.709,69.641
0.024,0.031,0.219,-269.104,27.710,34.668
0.007,0.045,0.184,-294.434,16.174,26.428
-0.069,0.145,0.128,-357.605,-28.625,61.584
-0.229,0.771,0.005,-373.718,-32.532,70.923
-0.243,1.281,0.006,-391.479,51.025,31.494
0.008,1.941,0.463,-397.156,102.661,11.169
0.207,2.077,0.833,-374.817,107.605,22.766
0.489,2.161,1.447,-343.384,68.298,35.095
0.538,2.126,1.572,-248.779,-4.272,31.067
0.369,1.992,1.432,-203.796,-23.376,26.184
0.179,1.892,1.356,-144.226,-32.898,49.744
0.013,1.746,1.500,-122.559,-23.010,63.721
0.103,1.719,1.595,-67.078,19.043,36.804
0.341,1.547,1.593,-29.907,35.950,4.272
0.343,1.427,1.510,29.419,29.541,-37.231
0.144,1.350,1.349,47.913,13.916,-40.100
0.033,1.362,1.321,66.345,1.343,-37.476
-0.087,1.353,1.281,107.849,-0.183,-34.241
-0.121,1.320,1.223,129.578,7.690,-36.194
-0.138,1.287,1.152,169.373,18.433,-30.457
-0.126,1.257,1.072,184.021,16.846,-21.912
-0.120,1.230,1.060,207.153,10.986,-8.606
-0.105,1.106,1.056,220.093,7.324,-6.042
-0.104,1.026,1.029,244.568,5.371,-7.507
-0.078,0.888,0.938,251.465,6.958,-7.080
-0.060,0.878,0.909,250.244,0.977,-2.808
-0.036,0.893,0.950,252.869,-4.089,-5.432
-0.068,0.851,0.933,275.574,0.366,-26.672
-0.122,0.730,0.766,287.109,4.517,-29.663
-0.097,0.655,0.725,300.537,-6.287,-16.907
-0.006,0.571,0.694,306.335,-13.855,-16.235
0.043,0.522,0.659,318.115,-13.428,-38.147
0.123,0.493,0.537,314.636,-11.902,-47.058
0.130,0.590,0.543,291.565,-6.104,-57.678
0.185,0.709,0.667,283.752,12.085,-70.862
0.233,0.658,0.724,301.880,41.382,-111.755
0.248,0.312,0.639,324.280,31.982,-130.005
0.172,0.214,0.467,346.741,0.549,-132.324
-0.046,0.195,0.073,355.652,-84.900,-87.158
-0.145,0.118,0.015,340.210,-116.394,-52.368
-0.220,-0.370,-0.022,329.712,-152.344,9.338
-0.199,-0.686,-0.327,359.436,-166.504,38.635
-0.135,-1.015,-0.923,426.025,-211.426,115.967
0.083,-1.897,-2.537,419.556,-251.160,169.556
0.268,-2.347,-3.076,288.330,-301.025,267.700
0.854,-2.878,-3.342,173.889,-247.803,240.967
0.818,-2.798,-3.008,-93.811,2.747,11.475
0.206,-1.951,-1.850,-191.833,117.859,-97.900
0.012,-1.529,-1.269,-267.334,189.819,-137.085
0.080,-1.079,-0.496,-274.109,172.607,-98.938
0.210,-0.995,-0.315,-284.119,117.737,-30.884
0.341,-0.881,-0.102,-291.443,87.708,-14.954
0.337,-0.831,0.018,-311.646,32.227,-13.489
0.257,-0.681,0.265,-321.411,27.466,-18.677
0.191,-0.586,0.335,-314.514,38.452,-46.387
0.028,-0.418,0.416,-302.917,35.522,-65.002
-0.063,-0.315,0.459,-276.001,21.423,-84.106
